Event ID,Event time,User name,Event name,Resource type,Resources,AWS region,Error code,Source IP address
3da2c2dd-372c-4821-9e68-153987e81642,"2020-06-26, 05:46:04 PM",CloudTrail,PutInsightSelectors,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:526919081086:trail/Udacity_Trail""}]",us-east-1,,69.115.180.74
9e1f06c8-7116-4e80-9629-0746435fada5,"2020-06-26, 05:43:00 PM",CloudTrail,ConsoleLogin,,,us-east-1,,69.115.180.74
c2e86a43-7510-4be2-a481-e06187ae2440,"2020-06-26, 03:17:50 PM",s3_File_upload_Function,CreateLogStream,,,us-east-1,,34.235.150.51
1171abef-8abe-4b05-9d77-cb4a6c193fdd,"2020-06-26, 03:17:18 PM",G3k,TerminateInstances,EC2 Instance,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-0d8c5a4722001e12e""}]",us-east-1,,69.115.180.74
6848638b-017a-4728-8f17-df843308de14,"2020-06-26, 03:17:18 PM",G3k,TerminateInstances,EC2 Instance,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-0b6700a1255852a2b""}]",us-east-1,,69.115.180.74
7f603f8e-355a-419e-83b3-c3200114bd3f,"2020-06-26, 03:17:18 PM",G3k,TerminateInstances,EC2 Instance,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-0b4c2e678f163033a""}]",us-east-1,,69.115.180.74
eeca0ab1-1aef-48ab-b39c-d774e3e7ab6c,"2020-06-26, 03:17:18 PM",G3k,TerminateInstances,EC2 Instance,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-06b630562c50cae32""}]",us-east-1,,69.115.180.74
abc961a7-d733-42bc-9c72-98568c11d48d,"2020-06-26, 03:11:58 PM",G3k,TerminateInstances,EC2 Instance,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-05f8c9902d88661b5""}]",us-east-1,,69.115.180.74
ff2c388d-456e-459e-9c09-21afdde0ba7a,"2020-06-26, 03:11:58 PM",G3k,TerminateInstances,EC2 Instance,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-041bb23b546959586""}]",us-east-1,,69.115.180.74
6f9bb44e-2141-4306-b935-b145ecf2fe0e,"2020-06-26, 03:06:24 PM",,SharedSnapshotVolumeCreated,,,us-east-1,,ec2.amazonaws.com
7f1c0e4c-040b-4f4c-a910-330015db83ce,"2020-06-26, 03:06:24 PM",,SharedSnapshotVolumeCreated,,,us-east-1,,ec2.amazonaws.com
32c6b11f-b264-479b-a5a5-54172a85bebf,"2020-06-26, 03:06:20 PM",G3k,RunInstances,EC2 VPC and 5 more,"[{""resourceType"":""AWS::EC2::VPC"",""resourceName"":""vpc-0ea2e644348969ef4""},{""resourceType"":""AWS::EC2::Ami"",""resourceName"":""ami-0c6b1d09930fac512""},{""resourceType"":""AWS::EC2::NetworkInterface"",""resourceName"":""eni-0f120a153d50ccce7""},{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-041bb23b546959586""},{""resourceType"":""AWS::EC2::SecurityGroup"",""resourceName"":""UDARR-Application""},{""resourceType"":""AWS::EC2::SecurityGroup"",""resourceName"":""sg-039f0eb040561d5d8""},{""resourceType"":""AWS::EC2::Subnet"",""resourceName"":""subnet-0651710202c4b0e6d""}]",us-east-1,,69.115.180.74
fe39814c-4bd9-46c0-9ced-a3fd98b27a99,"2020-06-26, 03:06:20 PM",G3k,RunInstances,EC2 VPC and 5 more,"[{""resourceType"":""AWS::EC2::VPC"",""resourceName"":""vpc-0ea2e644348969ef4""},{""resourceType"":""AWS::EC2::Ami"",""resourceName"":""ami-0c6b1d09930fac512""},{""resourceType"":""AWS::EC2::NetworkInterface"",""resourceName"":""eni-07ee0f5e65882502a""},{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-05f8c9902d88661b5""},{""resourceType"":""AWS::EC2::SecurityGroup"",""resourceName"":""UDARR-Application""},{""resourceType"":""AWS::EC2::SecurityGroup"",""resourceName"":""sg-039f0eb040561d5d8""},{""resourceType"":""AWS::EC2::Subnet"",""resourceName"":""subnet-0651710202c4b0e6d""}]",us-east-1,,69.115.180.74
6061115d-ee70-4ecc-85a2-23f543e2c834,"2020-06-26, 03:05:01 PM",G3k,TerminateInstances,EC2 Instance,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-0bbae06ea3deb2cae""}]",us-east-1,,69.115.180.74
dfae5ce3-161b-4f21-b4ec-42f5e4a11d26,"2020-06-26, 03:05:01 PM",G3k,TerminateInstances,EC2 Instance,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-08c109bd894e3dcc3""}]",us-east-1,,69.115.180.74
d7021bc7-60c8-499c-9be2-598ee0ffdd6d,"2020-06-26, 03:02:54 PM",,SharedSnapshotVolumeCreated,,,us-east-1,,ec2.amazonaws.com
34407a6a-f184-4229-a29f-8ca44c51e41d,"2020-06-26, 03:02:51 PM",,SharedSnapshotVolumeCreated,,,us-east-1,,ec2.amazonaws.com
e138233c-be96-4d70-b829-c80819a31c80,"2020-06-26, 03:02:51 PM",,SharedSnapshotVolumeCreated,,,us-east-1,,ec2.amazonaws.com
cb722459-da5b-4664-b990-759eb8a06620,"2020-06-26, 03:02:50 PM",,SharedSnapshotVolumeCreated,,,us-east-1,,ec2.amazonaws.com
023515f6-b242-405f-aa3b-326ead8b628f,"2020-06-26, 03:02:47 PM",G3k,RunInstances,EC2 VPC and 5 more,"[{""resourceType"":""AWS::EC2::VPC"",""resourceName"":""vpc-0ea2e644348969ef4""},{""resourceType"":""AWS::EC2::Ami"",""resourceName"":""ami-0c6b1d09930fac512""},{""resourceType"":""AWS::EC2::NetworkInterface"",""resourceName"":""eni-062f1746b3635088f""},{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-06b630562c50cae32""},{""resourceType"":""AWS::EC2::SecurityGroup"",""resourceName"":""UDARR-Application""},{""resourceType"":""AWS::EC2::SecurityGroup"",""resourceName"":""sg-039f0eb040561d5d8""},{""resourceType"":""AWS::EC2::Subnet"",""resourceName"":""subnet-0651710202c4b0e6d""}]",us-east-1,,69.115.180.74
31684f11-a353-4917-9c22-1bd50a0a8bdb,"2020-06-26, 03:02:47 PM",G3k,RunInstances,EC2 VPC and 5 more,"[{""resourceType"":""AWS::EC2::VPC"",""resourceName"":""vpc-0ea2e644348969ef4""},{""resourceType"":""AWS::EC2::Ami"",""resourceName"":""ami-0c6b1d09930fac512""},{""resourceType"":""AWS::EC2::NetworkInterface"",""resourceName"":""eni-0c9e358aff01df66f""},{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-0d8c5a4722001e12e""},{""resourceType"":""AWS::EC2::SecurityGroup"",""resourceName"":""UDARR-Application""},{""resourceType"":""AWS::EC2::SecurityGroup"",""resourceName"":""sg-039f0eb040561d5d8""},{""resourceType"":""AWS::EC2::Subnet"",""resourceName"":""subnet-0651710202c4b0e6d""}]",us-east-1,,69.115.180.74
89c9e241-eac2-4128-9173-fc881431765a,"2020-06-26, 03:02:47 PM",G3k,RunInstances,EC2 VPC and 5 more,"[{""resourceType"":""AWS::EC2::VPC"",""resourceName"":""vpc-0ea2e644348969ef4""},{""resourceType"":""AWS::EC2::Ami"",""resourceName"":""ami-0c6b1d09930fac512""},{""resourceType"":""AWS::EC2::NetworkInterface"",""resourceName"":""eni-07ab24f334043ace4""},{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-0b4c2e678f163033a""},{""resourceType"":""AWS::EC2::SecurityGroup"",""resourceName"":""UDARR-Application""},{""resourceType"":""AWS::EC2::SecurityGroup"",""resourceName"":""sg-039f0eb040561d5d8""},{""resourceType"":""AWS::EC2::Subnet"",""resourceName"":""subnet-0651710202c4b0e6d""}]",us-east-1,,69.115.180.74
cba9cec8-c5c0-4384-ab0c-374691f9ccb1,"2020-06-26, 03:02:47 PM",G3k,RunInstances,EC2 VPC and 5 more,"[{""resourceType"":""AWS::EC2::VPC"",""resourceName"":""vpc-0ea2e644348969ef4""},{""resourceType"":""AWS::EC2::Ami"",""resourceName"":""ami-0c6b1d09930fac512""},{""resourceType"":""AWS::EC2::NetworkInterface"",""resourceName"":""eni-0646effec3c30247d""},{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-0b6700a1255852a2b""},{""resourceType"":""AWS::EC2::SecurityGroup"",""resourceName"":""UDARR-Application""},{""resourceType"":""AWS::EC2::SecurityGroup"",""resourceName"":""sg-039f0eb040561d5d8""},{""resourceType"":""AWS::EC2::Subnet"",""resourceName"":""subnet-0651710202c4b0e6d""}]",us-east-1,,69.115.180.74
801d6915-0d39-41c0-8d71-5baaa048adc5,"2020-06-26, 03:01:59 PM",s3_File_upload_Function,CreateLogStream,,,us-east-1,,100.24.122.225
491aaf36-4241-4a3c-94b8-a9f4a8f8c0b7,"2020-06-26, 03:01:28 PM",G3k,TerminateInstances,EC2 Instance,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-048e760d7e654d96e""}]",us-east-1,,69.115.180.74
6bb9ad32-5300-4de3-8166-e134f99cc309,"2020-06-26, 03:01:28 PM",G3k,TerminateInstances,EC2 Instance,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-04f6880db3532bbf9""}]",us-east-1,,69.115.180.74
b447f4af-ca5c-495c-a128-41a8c453cfe0,"2020-06-26, 03:01:28 PM",G3k,TerminateInstances,EC2 Instance,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-05643ef845a7ca2e9""}]",us-east-1,,69.115.180.74
d2f3fb53-1c48-4b7c-95bf-d08ed1bd250d,"2020-06-26, 03:01:28 PM",G3k,TerminateInstances,EC2 Instance,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-0ab35e52741646031""}]",us-east-1,,69.115.180.74
f975dc7c-2d7f-4149-b53a-245c9e371b88,"2020-06-26, 02:54:37 PM",,SharedSnapshotVolumeCreated,,,us-east-1,,ec2.amazonaws.com
b054429a-3be1-4353-be6e-8b0b0b75de39,"2020-06-26, 02:54:34 PM",,SharedSnapshotVolumeCreated,,,us-east-1,,ec2.amazonaws.com
c391f11e-cd1e-4dde-9ea2-46b63f334b52,"2020-06-26, 02:54:29 PM",G3k,RunInstances,EC2 VPC and 5 more,"[{""resourceType"":""AWS::EC2::VPC"",""resourceName"":""vpc-0ea2e644348969ef4""},{""resourceType"":""AWS::EC2::Ami"",""resourceName"":""ami-0c6b1d09930fac512""},{""resourceType"":""AWS::EC2::NetworkInterface"",""resourceName"":""eni-0277fd8711426e613""},{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-08c109bd894e3dcc3""},{""resourceType"":""AWS::EC2::SecurityGroup"",""resourceName"":""UDARR-Application""},{""resourceType"":""AWS::EC2::SecurityGroup"",""resourceName"":""sg-039f0eb040561d5d8""},{""resourceType"":""AWS::EC2::Subnet"",""resourceName"":""subnet-0651710202c4b0e6d""}]",us-east-1,,69.115.180.74
d7431328-ca71-400a-a18e-9eb30c42cae9,"2020-06-26, 02:54:29 PM",G3k,RunInstances,EC2 VPC and 5 more,"[{""resourceType"":""AWS::EC2::VPC"",""resourceName"":""vpc-0ea2e644348969ef4""},{""resourceType"":""AWS::EC2::Ami"",""resourceName"":""ami-0c6b1d09930fac512""},{""resourceType"":""AWS::EC2::NetworkInterface"",""resourceName"":""eni-0f68d67d4cf9332aa""},{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-0bbae06ea3deb2cae""},{""resourceType"":""AWS::EC2::SecurityGroup"",""resourceName"":""UDARR-Application""},{""resourceType"":""AWS::EC2::SecurityGroup"",""resourceName"":""sg-039f0eb040561d5d8""},{""resourceType"":""AWS::EC2::Subnet"",""resourceName"":""subnet-0651710202c4b0e6d""}]",us-east-1,,69.115.180.74
0b0faf89-5154-4f9f-bb3d-93840c5d4736,"2020-06-26, 02:44:26 PM",G3k,TerminateInstances,EC2 Instance,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-06794b983ff5fca80""}]",us-east-1,,69.115.180.74
43013a08-26fc-4cee-a897-b9e276b2ee04,"2020-06-26, 02:44:26 PM",G3k,TerminateInstances,EC2 Instance,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-057c3d7954c292da8""}]",us-east-1,,69.115.180.74
991df24e-0704-4a19-9a7f-ff3fc8376273,"2020-06-26, 02:34:36 PM",,SharedSnapshotVolumeCreated,,,us-east-1,,ec2.amazonaws.com
77338ce6-0f0d-4d28-9986-3453424a48a0,"2020-06-26, 02:34:35 PM",,SharedSnapshotVolumeCreated,,,us-east-1,,ec2.amazonaws.com
307d4792-6e9d-453d-9480-3ca716678814,"2020-06-26, 02:34:28 PM",G3k,RunInstances,EC2 VPC and 5 more,"[{""resourceType"":""AWS::EC2::VPC"",""resourceName"":""vpc-0ea2e644348969ef4""},{""resourceType"":""AWS::EC2::Ami"",""resourceName"":""ami-0c6b1d09930fac512""},{""resourceType"":""AWS::EC2::NetworkInterface"",""resourceName"":""eni-02ceb4d6bb9828b8d""},{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-057c3d7954c292da8""},{""resourceType"":""AWS::EC2::SecurityGroup"",""resourceName"":""UDARR-Application""},{""resourceType"":""AWS::EC2::SecurityGroup"",""resourceName"":""sg-039f0eb040561d5d8""},{""resourceType"":""AWS::EC2::Subnet"",""resourceName"":""subnet-0651710202c4b0e6d""}]",us-east-1,,69.115.180.74
87074350-8bb7-492e-b851-a601bd269e2b,"2020-06-26, 02:34:28 PM",G3k,RunInstances,EC2 VPC and 5 more,"[{""resourceType"":""AWS::EC2::VPC"",""resourceName"":""vpc-0ea2e644348969ef4""},{""resourceType"":""AWS::EC2::Ami"",""resourceName"":""ami-0c6b1d09930fac512""},{""resourceType"":""AWS::EC2::NetworkInterface"",""resourceName"":""eni-0d282dbdae3afd73e""},{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-06794b983ff5fca80""},{""resourceType"":""AWS::EC2::SecurityGroup"",""resourceName"":""UDARR-Application""},{""resourceType"":""AWS::EC2::SecurityGroup"",""resourceName"":""sg-039f0eb040561d5d8""},{""resourceType"":""AWS::EC2::Subnet"",""resourceName"":""subnet-0651710202c4b0e6d""}]",us-east-1,,69.115.180.74
3ba366f6-45f8-4a76-9653-305ac94f9cf4,"2020-06-26, 02:30:15 PM",gayathri.kasarla,TerminateInstances,EC2 Instance,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-0aa996b7ccfcaa399""},{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-0383390d66637db09""},{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-09374a8ba2308b578""}]",us-east-1,,69.115.180.74
509e734f-8d16-4e4a-aa9d-7b7cec2d507f,"2020-06-26, 02:29:56 PM",gayathri.kasarla,TerminateInstances,EC2 Instance,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-0383390d66637db09""}]",us-east-1,,69.115.180.74
509e734f-8d16-4e4a-aa9d-7b7cec2d507f,"2020-06-26, 02:29:56 PM",gayathri.kasarla,TerminateInstances,EC2 Instance,"[{""resourceType"":""AWS::EC2::Instance"",""resourceName"":""i-0383390d66637db09""}]",us-east-1,,69.115.180.74
c48393b4-d8e6-4353-b59f-b22e05e243b7,"2020-06-26, 02:29:26 PM",s3_File_upload_Function,CreateLogStream,,,us-east-1,,54.92.186.240
c48393b4-d8e6-4353-b59f-b22e05e243b7,"2020-06-26, 02:29:26 PM",s3_File_upload_Function,CreateLogStream,,,us-east-1,,54.92.186.240
17ee0774-26e8-48a4-a2f0-4c469ed3cdc4,"2020-06-26, 02:28:59 PM",,SharedSnapshotVolumeCreated,,,us-east-1,,ec2.amazonaws.com
c5fa754e-cc59-4423-8282-37f27df57745,"2020-06-26, 02:28:57 PM",,SharedSnapshotVolumeCreated,,,us-east-1,,ec2.amazonaws.com
e0b0888c-709c-4786-9964-8dfcc718e47b,"2020-06-26, 02:28:57 PM",,SharedSnapshotVolumeCreated,,,us-east-1,,ec2.amazonaws.com
f4297b0c-73c0-45cd-a102-3a0bd6b1e6ba,"2020-06-26, 02:28:57 PM",,SharedSnapshotVolumeCreated,,,us-east-1,,ec2.amazonaws.com
